Macrotrends Data Download

European Union Inflation Rate 1960-2021


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, , , 
date, Inflation Rate (%), Annual Change, 
1960-12-31,1.7412
1961-12-31,2.0771,0.34
1962-12-31,3.5535,1.48
1963-12-31,2.9216,-0.63
1964-12-31,3.4163,0.49
1965-12-31,3.9866,0.57
1966-12-31,3.7034,-0.28
1967-12-31,3.3193,-0.38
1968-12-31,3.2428,-0.08
1969-12-31,2.6746,-0.57
1970-12-31,4.5061,1.83
1971-12-31,5.241,0.73
1972-12-31,6.0074,0.77
1973-12-31,7.7491,1.74
1974-12-31,13.1636,5.41
1975-12-31,10.4676,-2.7
1976-12-31,9.3471,-1.12
1977-12-31,9.7675,0.42
1978-12-31,7.7552,-2.01
1979-12-31,8.2217,0.47
1980-12-31,12.9114,4.69
1981-12-31,11.7674,-1.14
1982-12-31,9.5849,-2.18
1983-12-31,8.6693,-0.92
1984-12-31,7.6738,-1
1985-12-31,5.3955,-2.28
1986-12-31,3.6782,-1.72
1987-12-31,4.02,0.34
1988-12-31,4.5351,0.52
1989-12-31,6.2598,1.72
1990-12-31,6.1496,-0.11
1991-12-31,5.4847,-0.66
1992-12-31,6.2174,0.73
1993-12-31,4.8542,-1.36
1994-12-31,4.7184,-0.14
1995-12-31,4.4266,-0.29
1996-12-31,3.5588,-0.87
1997-12-31,3.1121,-0.45
1998-12-31,2.4155,-0.7
1999-12-31,2.1572,-0.26
2000-12-31,3.1508,0.99
2001-12-31,3.374,0.22
2002-12-31,2.4244,-0.95
2003-12-31,2.092,-0.33
2004-12-31,2.2862,0.19
2005-12-31,2.4877,0.2
2006-12-31,2.6663,0.18
2007-12-31,2.5107,-0.16
2008-12-31,4.165,1.65
2009-12-31,0.8393,-3.33
2010-12-31,1.5311,0.69
2011-12-31,3.2894,1.76
2012-12-31,2.6628,-0.63
2013-12-31,1.22,-1.44
2014-12-31,0.1993,-1.02
2015-12-31,-0.0616,-0.26
2016-12-31,0.1833,0.24
2017-12-31,1.4291,1.25
2018-12-31,1.7386,0.31
2019-12-31,1.6305,-0.11
