,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12
1,-0.679394087,-1.883686913,-0.670540092,-1.877582187,-0.627918914,-1.848195386,-0.530522828,-1.781041927,-0.3351061,-1.646304386,-0.189138362,-1.545661344
2,-0.76237369,-2.134843787,-0.647450182,-2.067485354,-0.346698371,-1.853556133,-0.039069005,-1.635991607,0.265381887,-1.426850846,0.374256747,-1.348678926
3,-0.070239552,-2.375359296,-0.094471241,-2.38244145,-0.070641214,-2.36128338,0.010985826,-2.312649535,0.247861039,-2.160623596,0.437474698,-2.026245561
4,0.753006849,-2.29143971,0.940021363,-2.177388657,1.315861693,-1.894225967,1.663207773,-1.650963075,1.865576421,-1.51163369,1.859318956,-1.520936019
5,0.714309668,-2.071356239,0.922732286,-1.94147091,1.371311649,-1.621536138,1.780486549,-1.346596685,1.956723119,-1.230579523,1.897934021,-1.270399224
6,1.088751623,-1.656400072,1.392482383,-1.461338578,2.02193215,-1.005276066,2.522775385,-0.672074933,2.610040583,-0.601117411,2.386146396,-0.753442538
7,1.962945013,-1.314854277,2.357556674,-1.01128065,3.186414731,-0.456075656,3.79450703,-0.026048258,3.787127449,-0.037315783,3.392262557,-0.311708363
8,1.903559772,-1.189422417,2.49003807,-0.808221277,3.70583332,0.050848927,4.628857066,0.694448956,4.713696454,0.742774947,4.20171565,0.397649108
9,2.281824136,-1.129214335,2.807589479,-0.769095746,3.915078298,-0.000767298,4.734412378,0.573292696,4.78749581,0.599004013,4.323067782,0.284429121
10,1.913268069,-1.150745166,2.505574725,-0.748978703,3.77238396,0.099783623,4.738997685,0.786544821,4.850563201,0.866403424,4.360528987,0.531298585
11,1.725535437,-1.511045467,2.362905549,-1.044075247,3.773418975,-0.078244731,4.859052604,0.658445828,5.073606092,0.799726761,4.595177306,0.480098406
12,1.683810319,-1.534786093,2.300365769,-1.093172647,3.659338376,-0.158955299,4.739232002,0.59895,4.956792403,0.739798907,4.500688265,0.424161791
13,1.656495805,-1.519616264,2.270071275,-1.092375858,3.656717335,-0.138465261,4.731317131,0.614823746,4.946239514,0.758318921,4.495849132,0.449196674
14,1.746701214,-1.441531097,2.35294564,-1.002371988,3.740515175,-0.03516983,4.823880026,0.710451344,5.020180425,0.836545739,4.559181982,0.519140167
15,1.620510905,-1.472900743,2.194947642,-1.099728211,3.400592547,-0.253210092,4.361159902,0.411885901,4.568666322,0.552105723,4.178407129,0.285233287
16,1.72761836,-1.410309359,2.27139566,-1.028787781,3.457624073,-0.20689884,4.400158772,0.434989142,4.576883578,0.560336637,4.186954759,0.300907948
17,1.932031279,-1.293199977,2.399887941,-0.971238687,3.408349525,-0.264499414,4.212918565,0.269427409,4.346397442,0.369943809,3.992672352,0.126020384
18,1.783476717,-1.41637683,2.253109778,-1.081185711,3.220308459,-0.393937102,4.008333117,0.131155075,4.144494194,0.227897482,3.806969226,-0.005022835
19,1.494726968,-1.779472482,1.953287333,-1.468437909,2.979092774,-0.755994769,3.830010092,-0.168671841,4.069036925,-0.012225184,3.793661244,-0.19906928
20,1.423876828,-1.84200091,1.842707516,-1.511142526,2.823287531,-0.8491528,3.623114993,-0.294319955,3.868962065,-0.128249123,3.630106058,-0.290404988
21,1.509024059,-1.741787862,1.973227181,-1.413678378,2.985541583,-0.711400317,3.811006071,-0.158565117,4.025726755,0.00283504,3.758993021,-0.187559465
22,1.527825767,-1.709291585,1.949268981,-1.403788737,2.90540398,-0.767252716,3.665601738,-0.225518542,3.894550508,-0.06568676,3.641939127,-0.246822458
23,1.344682319,-1.781561322,1.723342471,-1.533756111,2.537744338,-0.991000151,3.192639356,-0.537434555,3.439549143,-0.370397944,3.267045933,-0.482280775
24,1.356562572,-1.782031992,1.693964433,-1.563808101,2.442282439,-1.028045656,3.068917166,-0.59747532,3.312047154,-0.434256356,3.155998498,-0.541349555
25,1.332307812,-1.758995104,1.617764129,-1.591944128,2.210940828,-1.159893283,2.73163829,-0.816749626,2.959743454,-0.650850042,2.870943021,-0.71603451
26,1.255228619,-1.80595021,1.532379687,-1.591190111,2.164473195,-1.171859875,2.695846307,-0.806608305,2.943142756,-0.637306652,2.860361328,-0.700669379
27,1.358775558,-1.69876009,1.629654736,-1.548202076,2.221095895,-1.117224075,2.750985612,-0.759989924,2.958926865,-0.608662028,2.873127917,-0.672987102
28,1.412760885,-1.688131706,1.652298663,-1.490463615,2.215963148,-1.126503998,2.677116842,-0.792788304,2.887967251,-0.647479247,2.810183536,-0.70230572
29,1.335581055,-1.688771873,1.559590936,-1.537168644,2.072090182,-1.195658758,2.494664927,-0.90187343,2.716443069,-0.747883459,2.67202213,-0.779436104
30,1.344764828,-1.674918903,1.52700252,-1.538673734,1.991129321,-1.221822511,2.398747456,-0.949391005,2.596625241,-0.796044299,2.569934976,-0.820736739
31,1.294814001,-1.699627161,1.491098155,-1.560063303,1.925577459,-1.249272067,2.321323154,-0.973194148,2.541384987,-0.819430591,2.525105267,-0.833348685
32,1.281464765,-1.693914072,1.415739363,-1.582747267,1.730470453,-1.372060552,2.047081972,-1.145183582,2.258019424,-1.00881903,2.287368194,-0.980649825
33,1.26824665,-1.673202585,1.3715281,-1.602976341,1.645578487,-1.403889258,1.902789728,-1.213767779,2.124578323,-1.068382586,2.181879852,-1.039470239
34,0.911699559,-1.719961749,1.047920901,-1.628001644,1.350916792,-1.423267025,1.682471866,-1.188352385,1.948892639,-1.006485816,2.037290724,-0.952381634
35,0.782057969,-1.708823942,0.883597116,-1.655037489,1.091365217,-1.497031412,1.38418448,-1.29624771,1.686931983,-1.084521729,1.841806241,-0.982124848
36,0.611181488,-1.77412936,0.665517713,-1.764397065,0.792166412,-1.665710532,1.006460951,-1.510773447,1.33082381,-1.302490871,1.545737633,-1.148506392
37,0.341041796,-1.86375017,0.390885779,-1.83570133,0.567948676,-1.674183746,0.84680822,-1.496774048,1.222095268,-1.239588354,1.448571209,-1.084409953
38,0.736638368,-1.810646656,0.738391512,-1.775377465,0.82940572,-1.727054668,0.982355084,-1.627031475,1.290184087,-1.407622324,1.516732922,-1.249915679
39,0.526921398,-2.027171646,0.60608275,-1.946899043,0.85174816,-1.780761525,1.170269658,-1.572679572,1.555423518,-1.305429367,1.768299329,-1.15755075
40,0.451531661,-2.071438888,0.585760898,-2.001810558,0.919280901,-1.752550708,1.296085475,-1.508078279,1.695840467,-1.223547716,1.886435562,-1.096675877
41,0.903867823,-1.552634661,0.972853503,-1.504884673,1.184030307,-1.363807807,1.434730125,-1.182486455,1.733320238,-0.973250903,1.902902608,-0.867118653
42,0.177432705,-2.235726793,0.262414552,-2.17945932,0.506808421,-2.00721231,0.831817971,-1.778490616,1.212619476,-1.518869764,1.42641815,-1.372476904
43,0.267227012,-2.121947189,0.423782249,-2.000217914,0.792613819,-1.744799732,1.210923755,-1.461020644,1.628077052,-1.18072094,1.789084173,-1.069465066
44,0.274232499,-1.865421035,0.577802619,-1.665671663,1.231468743,-1.207809704,1.877416753,-0.765439958,2.309384722,-0.462753665,2.364901966,-0.427523222
45,0.944103045,-1.466180038,1.411474593,-1.161675724,2.346111804,-0.512818818,3.181489095,0.066121539,3.584893582,0.345270102,3.483449967,0.271450826
46,1.225019648,-1.500067728,1.607309652,-1.206575879,2.537529772,-0.578311553,3.285462126,-0.041342714,3.570985987,0.139639316,3.3767426,0.019226851
47,1.303250244,-1.100756714,1.777163392,-0.780141483,2.824179539,-0.065380218,3.64065808,0.49739278,3.845249461,0.650491412,3.540946472,0.438067191
48,1.11377536,-0.865726832,1.710305106,-0.446667799,3.030802269,0.455638614,4.046450706,1.156661091,4.279703877,1.322691875,3.867016418,1.044388082
49,1.520345243,-1.002174438,2.118860783,-0.593409246,3.353719614,0.268853031,4.356496029,0.952417541,4.55073536,1.088612858,4.120011151,0.791621242
50,2.293198741,-0.588251288,2.948289456,-0.124925415,4.380131873,0.850867238,5.456547363,1.580689212,5.552951519,1.651441063,4.972672315,1.249888601
51,2.398072605,-0.774778409,2.784227343,-0.502472781,3.666998672,0.111703652,4.321263333,0.575551954,4.367600404,0.597160572,3.98501964,0.339882412
52,2.204586873,-0.702792248,2.491724084,-0.528740715,3.126568363,-0.102693298,3.604608284,0.223398923,3.648259237,0.252075604,3.383458193,0.072448907
53,1.934687425,-0.384490766,2.265390651,-0.169865146,2.996371493,0.334528029,3.54459495,0.718812921,3.558330145,0.732726552,3.238717319,0.502596748
54,2.444196812,-0.166337329,2.796392538,0.060313009,3.537220382,0.584325433,4.087128956,0.967761464,4.095699766,0.969954644,3.751599306,0.732742389
55,2.134490647,-0.349309538,2.494072931,-0.101409017,3.257280539,0.405142439,3.815403149,0.800821466,3.871889096,0.838915955,3.560679118,0.62747396
56,2.425250858,-0.145366015,2.804020152,0.102437951,3.582198587,0.613558577,4.15560849,1.039644893,4.179749827,1.04572621,3.830925628,0.808587484
57,2.468354933,-0.335474771,2.832654181,-0.06842795,3.622906325,0.484806236,4.254524039,0.916230615,4.372419111,1.000732309,4.103637854,0.806754573
58,2.573951144,-0.381396303,3.12190581,-0.032996137,4.205344391,0.733005092,5.068516069,1.330446963,5.241396271,1.445702233,4.880910889,1.193593014
59,2.65898042,-0.458121312,3.030071357,-0.221476491,3.829939082,0.348412482,4.473511213,0.788661768,4.661962518,0.909814375,4.450036209,0.764296755
60,3.211487832,-0.370660408,3.506295196,-0.152335477,4.195257517,0.332029909,4.724797915,0.707776362,4.821721854,0.769965522,4.57634701,0.606203034
