,1,2,5,10,20,30
2000-01-31,3.97,4.48,5.052,5.539,5.6739999999999995,6.45
2000-02-29,4.07,4.51,5.086,5.4910000000000005,5.606,6.2
2000-03-31,4.16,4.48,4.861000000000001,5.223,5.3389999999999995,5.96
2000-04-28,4.43,4.7,5.0089999999999995,5.303999999999999,5.415,5.8
2000-05-31,4.84,5.02,5.039,5.1770000000000005,5.281000000000001,5.55
2000-06-30,4.87,4.99,5.046,5.223,5.367999999999999,5.62
2000-07-31,5.05,5.16,5.135,5.212000000000001,5.263,5.53
2000-08-31,5.17,5.26,5.2379999999999995,5.301,5.334,5.59
2000-09-29,5.06,5.1,5.067,5.23,5.33,5.92
2000-10-31,5.13,5.12,5.079,5.24,5.362,5.89
2000-11-30,4.97,4.9,4.814,4.996,5.0969999999999995,5.74
2000-12-29,4.61,4.51,4.475,4.8580000000000005,5.0169999999999995,5.78
2001-01-31,4.44,4.39,4.508,4.8,5.035,5.78
2001-02-28,4.46,4.36,4.475,4.747,4.979,5.78
2001-03-30,4.26,4.2,4.303999999999999,4.687,4.962,5.78
2001-04-30,4.67,4.61,4.763999999999999,5.013,5.311,5.92
2001-05-31,4.38,4.41,4.723,5.156000000000001,5.439,6.08
2001-06-29,4.29,4.3,4.585,5.098,5.428,5.99
2001-07-31,4.19,4.15,4.412,4.878,5.199,5.81
2001-08-31,3.96,3.91,4.203,4.785,5.162000000000001,5.85
2001-09-28,3.42,3.5,4.09,4.801,5.221,6.01
2001-10-31,3.15,3.19,3.727,4.373,4.737,5.6
2001-11-30,3.21,3.43,4.031000000000001,4.5569999999999995,4.871,5.46
2001-12-31,3.32,3.7,4.402,4.997,5.28,5.62
2002-01-31,3.6,4.02,4.481,4.899,5.091,5.49
2002-02-28,3.55,3.91,4.49,4.9510000000000005,5.164,5.61
2002-03-29,3.86,4.3,4.908,5.239,5.4639999999999995,5.85
2002-04-30,3.73,4.1,4.683,5.125,5.391,5.85
2002-05-31,3.91,4.27,4.718999999999999,5.172999999999999,5.415,5.73
2002-06-28,3.68,3.99,4.5,4.944,5.192,5.54
2002-07-31,3.45,3.7,4.184,4.752,5.035,5.53
2002-08-30,3.3,3.49,4.032,4.563,4.819,5.34
2002-09-30,3.03,3.16,3.572,4.272,4.627,5.29
2002-10-31,3.02,3.2,3.807,4.506,4.811,5.56
2002-11-29,2.95,3.16,3.795,4.488,4.789,5.44
2002-12-31,2.63,2.79,3.372,4.194,4.523,5.25
2003-01-31,2.52,2.63,3.26,4.058,4.686,5.08
2003-02-28,2.33,2.42,2.944,3.8960000000000004,4.605,5.19
2003-03-31,2.3,2.48,3.2310000000000003,4.033,4.745,5.32
2003-04-30,2.39,2.56,3.238,4.065,4.771,5.31
2003-05-30,2.07,2.16,2.8489999999999998,3.675,4.465,4.97
2003-06-30,2.0,2.21,2.944,3.801,4.575,5.19
2003-07-31,2.09,2.41,3.389,4.196000000000001,4.87,5.36
2003-08-29,2.32,2.7,3.4339999999999997,4.188,4.75,5.26
2003-09-30,2.09,2.37,3.108,4.004,4.698,5.26
