,1,2,5,10,20,30
2000-01-31,4.487,4.487,5.329,5.784,6.022,6.26
2000-02-29,4.702,4.702,5.388,5.774,5.9585,6.143
2000-03-31,4.65,4.65,5.1739999999999995,5.521,5.7085,5.896
2000-04-28,4.828,4.828,5.307,5.582000000000001,5.753500000000001,5.925
2000-05-31,5.211,5.211,5.439,5.526,5.692,5.858
2000-06-30,5.162000000000001,5.162000000000001,5.388,5.567,5.739000000000001,5.9110000000000005
2000-07-31,5.316,5.316,5.452000000000001,5.555,5.711,5.867000000000001
2000-08-31,5.42,5.42,5.5729999999999995,5.654,5.763999999999999,5.874
2000-09-29,5.28,5.28,5.428,5.602,5.798500000000001,5.995
2000-10-31,5.315,5.315,5.414,5.593999999999999,5.813,6.032
2000-11-30,5.06,5.06,5.176,5.382000000000001,5.634,5.886
2000-12-29,4.657,4.657,4.87,5.247999999999999,5.5365,5.825
2001-01-31,4.4910000000000005,4.4910000000000005,4.761,5.178,5.485,5.792000000000001
2001-02-28,4.519,4.519,4.739,5.159,5.471,5.7829999999999995
2001-03-30,4.294,4.294,4.631,5.1080000000000005,5.4495000000000005,5.791
2001-04-30,4.79,4.79,5.045,5.41,5.705500000000001,6.001
2001-05-31,4.526,4.526,4.9719999999999995,5.53,5.8155,6.101
2001-06-29,4.417,4.417,4.871,5.492000000000001,5.797000000000001,6.102
2001-07-31,4.252,4.252,4.663,5.263999999999999,5.552,5.84
2001-08-31,4.0280000000000005,4.0280000000000005,4.453,5.142,5.4670000000000005,5.792000000000001
2001-09-28,3.6860000000000004,3.6860000000000004,4.239,5.129,5.4915,5.854
2001-10-31,3.2939999999999996,3.2939999999999996,3.8760000000000003,4.718999999999999,5.0355,5.352
2001-11-30,3.503,3.503,4.1160000000000005,4.887,5.16,5.433
2001-12-31,3.7,3.7,4.497,5.2410000000000005,5.4510000000000005,5.6610000000000005
2002-01-31,4.088,4.088,4.74,5.186,5.375500000000001,5.565
2002-02-28,4.052,4.052,4.71,5.2139999999999995,5.4245,5.635
2002-03-29,4.416,4.416,5.0969999999999995,5.5,5.6865,5.872999999999999
2002-04-30,4.1610000000000005,4.1610000000000005,4.873,5.377000000000001,5.593,5.809
2002-05-31,4.308,4.308,4.96,5.412999999999999,5.606999999999999,5.801
2002-06-28,3.989,3.989,4.648,5.2,5.38,5.56
2002-07-31,3.608,3.608,4.356,4.997,5.221,5.445
2002-08-30,3.432,3.432,4.123,4.781000000000001,5.0225,5.263999999999999
2002-09-30,3.031,3.031,3.708,4.498,4.83,5.162000000000001
2002-10-31,3.083,3.083,3.795,4.7410000000000005,5.032,5.3229999999999995
2002-11-29,3.034,3.034,3.8080000000000003,4.697,4.987,5.277
2002-12-31,2.7439999999999998,2.7439999999999998,3.5069999999999997,4.418,4.734,5.05
2003-01-31,2.62,2.62,3.385,4.276,4.6125,4.949
2003-02-28,2.3369999999999997,2.3369999999999997,3.09,4.128,4.542,4.956
2003-03-31,2.609,2.609,3.284,4.204,4.614,5.024
2003-04-30,2.5660000000000003,2.5660000000000003,3.278,4.211,4.618,5.025
2003-05-30,2.2430000000000003,2.2430000000000003,2.87,3.8310000000000004,4.2915,4.752
2003-06-30,2.2119999999999997,2.2119999999999997,2.9410000000000003,3.966,4.4155,4.865
2003-07-31,2.572,2.572,3.418,4.352,4.7829999999999995,5.2139999999999995
2003-08-29,2.688,2.688,3.449,4.306,4.6925,5.079
2003-09-30,2.28,2.28,3.134,4.1530000000000005,4.595000000000001,5.037
2003-10-31,2.639,2.639,3.685,4.4319999999999995,4.807,5.182
2003-11-28,2.766,2.766,3.833,4.5760000000000005,4.926500000000001,5.277
2003-12-31,2.458,2.458,3.589,4.4319999999999995,4.811,5.19
2004-01-30,2.573,2.573,3.487,4.37,4.7695,5.169
2004-02-27,2.248,2.248,3.1910000000000003,4.21,4.654999999999999,5.1
2004-03-31,2.112,2.112,3.033,4.19,4.6,5.01
2004-04-30,2.4,2.4,3.345,4.45,4.8149999999999995,5.18
2004-05-31,2.568,2.568,3.55,4.51,4.875,5.24
2004-06-30,2.846,2.846,3.5189999999999997,4.54,4.87,5.2
2004-07-30,2.755,2.755,3.4019999999999997,4.45,4.79,5.13
2004-08-31,2.5340000000000003,2.5340000000000003,3.3110000000000004,4.25,4.615,4.98
2004-09-30,2.5989999999999998,2.5989999999999998,3.304,4.157,4.514,4.871
2004-10-29,2.455,2.455,3.1260000000000003,4.029,4.4035,4.7780000000000005
2004-11-30,2.386,2.386,3.005,3.9560000000000004,4.2915,4.627
2004-12-31,2.461,2.461,2.9989999999999997,3.841,4.160500000000001,4.48
2005-01-31,2.42,2.42,2.8789999999999996,3.657,3.9490000000000003,4.2410000000000005
2005-02-28,2.511,2.511,3.035,3.815,4.0955,4.376
2005-03-31,2.449,2.449,3.063,3.801,4.088,4.375
2005-04-29,2.255,2.255,2.832,3.57,3.8905000000000003,4.211
2005-05-31,2.115,2.115,2.6910000000000003,3.5460000000000003,3.859,4.172
2005-06-30,2.022,2.022,2.546,3.4010000000000002,3.7135,4.026
2005-07-29,2.218,2.218,2.694,3.4339999999999997,3.737,4.04
2005-08-31,2.167,2.167,2.65,3.3539999999999996,3.6514999999999995,3.949
2005-09-30,2.29,2.29,2.7910000000000004,3.36,3.6254999999999997,3.891
2005-10-31,2.662,2.662,3.049,3.612,3.862,4.112
2005-11-30,2.8169999999999997,2.8169999999999997,3.154,3.636,3.8810000000000002,4.126
2005-12-30,2.889,2.889,3.135,3.529,3.7239999999999998,3.9189999999999996
2006-01-31,2.972,2.972,3.281,3.696,3.9000000000000004,4.104
2006-02-28,3.141,3.141,3.341,3.735,3.941,4.147
2006-03-31,3.424,3.424,3.6439999999999997,4.084,4.2509999999999994,4.418
2006-04-28,3.4930000000000003,3.4930000000000003,3.928,4.287,4.4635,4.64
2006-05-31,3.4930000000000003,3.4930000000000003,3.792,4.248,4.458,4.668
2006-06-30,3.627,3.627,3.9610000000000003,4.361000000000001,4.556000000000001,4.751
2006-07-31,3.562,3.562,3.83,4.211,4.4205000000000005,4.63
2006-08-31,3.5589999999999997,3.5589999999999997,3.702,4.037,4.2265,4.416
2006-09-29,3.638,3.638,3.705,3.949,4.1035,4.258
2006-10-31,3.74,3.74,3.847,4.046,4.1645,4.283
2006-11-30,3.6839999999999997,3.6839999999999997,3.778,3.96,4.0920000000000005,4.224
2006-12-29,3.943,3.943,4.031000000000001,4.217,4.342,4.467
2007-01-31,4.01,4.01,4.115,4.33,4.461,4.592
2007-02-28,3.937,3.937,3.995,4.165,4.297,4.428999999999999
2007-03-30,4.063,4.063,4.1160000000000005,4.289,4.446,4.603
2007-04-30,4.156000000000001,4.156000000000001,4.273,4.445,4.5885,4.732
2007-05-31,4.444,4.444,4.489,4.601,4.728,4.855
2007-06-29,4.518,4.518,4.637,4.785,4.9190000000000005,5.053
2007-07-31,4.415,4.415,4.505,4.656000000000001,4.7905,4.925
2007-08-31,4.186,4.186,4.273,4.51,4.7055,4.901
2007-09-28,4.2,4.2,4.363,4.626,4.814,5.002
2007-10-31,4.218999999999999,4.218999999999999,4.348,4.45,4.673,4.896
2007-11-30,4.029,4.029,4.186,4.439,4.7005,4.962
2007-12-31,4.114,4.114,4.353,4.563,4.7805,4.998
2008-01-31,3.6039999999999996,3.6039999999999996,3.8289999999999997,4.39,4.631,4.872
2008-02-29,3.516,3.516,3.714,4.4110000000000005,4.684,4.957
2008-03-31,3.815,3.815,4.024,4.419,4.702999999999999,4.987
2008-04-30,4.072,4.072,4.208,4.567,4.809,5.051
2008-05-30,4.511,4.511,4.649,4.8660000000000005,5.0655,5.265
2008-06-30,4.956,4.956,5.0889999999999995,5.227,5.3454999999999995,5.4639999999999995
2008-07-31,4.552,4.552,4.758,4.961,5.0885,5.216
2008-08-29,4.412,4.412,4.6160000000000005,4.823,4.9805,5.138
2008-09-30,4.051,4.051,4.507,4.877,5.0815,5.2860000000000005
2008-10-31,3.61,3.61,4.289,5.141,5.212,5.2829999999999995
2008-11-28,3.208,3.208,3.96,4.467,4.759,5.051
2008-12-31,3.0789999999999997,3.0789999999999997,3.7060000000000004,4.379,4.750500000000001,5.122000000000001
2009-01-30,2.414,2.414,3.447,4.707,5.013,5.319
2009-02-27,2.222,2.222,3.429,4.649,5.0120000000000005,5.375
2009-03-31,1.899,1.899,3.071,4.394,4.8740000000000006,5.354
2009-04-30,1.7919999999999998,1.7919999999999998,3.216,4.277,4.7415,5.206
2009-05-29,1.67,1.67,3.513,4.626,5.016500000000001,5.407
2009-06-30,1.571,1.571,3.264,4.449,4.903499999999999,5.358
2009-07-31,0.7859999999999999,1.3630000000000002,2.968,4.156000000000001,4.6290000000000004,5.102
2009-08-31,0.73,1.268,2.998,4.074,4.534,4.994
2009-09-30,0.685,1.4969999999999999,2.875,4.004,4.4085,4.813
2009-10-30,0.7120000000000001,1.525,2.8160000000000003,3.948,4.4235,4.899
2009-11-30,0.833,1.597,2.758,4.018,4.4190000000000005,4.82
2009-12-31,0.898,1.574,2.862,4.152,4.485,4.8180000000000005
2010-01-29,0.976,1.933,3.035,4.109,4.4815000000000005,4.854
2010-02-26,0.85,1.41,2.7710000000000004,4.007,4.417999999999999,4.829
2010-03-31,0.7979999999999999,1.345,2.617,3.872,4.322,4.772
2010-04-30,0.968,1.8130000000000002,2.8169999999999997,3.984,4.43,4.876
2010-05-31,1.34,2.296,2.9789999999999996,4.155,4.5995,5.044
2010-06-30,1.298,2.137,2.932,4.092,4.576,5.06
2010-07-30,1.375,1.796,2.685,3.9530000000000003,4.4515,4.95
2010-08-31,1.165,1.755,2.5989999999999998,3.7569999999999997,4.2025,4.648
2010-09-30,1.546,1.954,2.8289999999999997,3.86,4.326,4.792
2010-10-29,1.548,1.9,2.858,3.8960000000000004,4.357,4.8180000000000005
2010-11-30,2.923,3.022,3.716,4.6819999999999995,5.0405,5.399
2010-12-31,2.016,2.895,3.77,4.84,5.16,5.48
2011-01-31,1.8530000000000002,2.571,3.8339999999999996,4.723,5.101,5.479
2011-02-28,1.855,2.506,3.9,4.8389999999999995,5.211499999999999,5.584
2011-03-31,1.767,2.909,3.886,4.824,5.245,5.666
2011-04-29,1.993,3.012,3.9819999999999998,4.7330000000000005,5.1530000000000005,5.5729999999999995
2011-05-31,2.063,3.008,4.01,4.78,5.155,5.53
2011-06-30,2.435,3.11,4.146,4.89,5.281000000000001,5.672000000000001
2011-07-29,3.0260000000000002,4.421,5.297000000000001,5.914,6.1385,6.3629999999999995
2011-08-31,2.827,3.455,4.291,5.129,6.266,6.194
2011-09-30,3.44,4.422,4.975,5.545,6.649,6.478
2011-10-31,4.601,5.152,5.912000000000001,6.1129999999999995,6.848,6.761
2011-11-30,5.8260000000000005,7.011,7.619,7.079,7.782,7.081
2011-12-30,4.024,5.047,6.157,7.035,7.2589999999999995,6.848
2012-01-31,2.283,3.523,4.7410000000000005,5.968,6.6339999999999995,6.532
2012-02-29,1.252,2.126,3.7939999999999996,5.192,5.869,5.763999999999999
2012-03-30,1.673,2.888,4.331,5.12,5.888999999999999,5.902
2012-04-30,2.241,3.1310000000000002,4.649,5.513999999999999,6.153,6.027
2012-05-31,3.616,4.641,5.5360000000000005,6.032,6.347,6.23
2012-06-29,3.5439999999999996,3.714,5.143,5.785,6.309,6.267
2012-07-31,2.823,4.095,5.532,6.085,6.638999999999999,6.641
2012-08-31,2.064,3.114,4.794,5.8420000000000005,6.222,6.237
2012-09-28,2.017,2.572,3.967,5.164,5.83,5.831
2012-10-31,1.713,2.445,3.759,4.961,5.608,5.562
2012-11-30,1.5219999999999998,1.9769999999999999,3.3960000000000004,4.5089999999999995,5.21,5.202000000000001
2012-12-31,1.348,2.109,3.355,4.53,5.131,5.087
2013-01-31,1.167,1.615,3.097,4.303,4.927,4.986000000000001
2013-02-28,1.33,2.262,3.5069999999999997,4.766,5.321000000000001,5.357
2013-03-29,1.349,2.135,3.58,4.738,5.232,5.244
2013-04-30,0.715,1.3530000000000002,2.8360000000000003,3.889,4.62,4.746
2013-05-31,0.797,1.7,3.052,4.145,4.676,4.8660000000000005
2013-06-28,1.297,2.174,3.4819999999999998,4.54,5.007,5.074
2013-07-31,1.147,1.8780000000000001,3.262,4.413,4.968999999999999,5.1
2013-08-30,1.297,1.8880000000000001,3.2739999999999996,4.3839999999999995,4.973,5.084
2013-09-30,1.153,1.993,3.477,4.592,5.071000000000001,5.183
2013-10-31,0.7709999999999999,1.455,2.918,4.1419999999999995,4.755,4.944
2013-11-29,0.759,1.1840000000000002,2.617,4.051,4.704,4.936
2013-12-31,0.958,1.214,2.702,4.086,4.695,4.865
2014-01-31,0.743,0.93,2.312,3.784,4.428999999999999,4.635
2014-02-28,0.599,0.7879999999999999,2.059,3.4789999999999996,4.232,4.457
2014-03-31,0.625,0.845,1.95,3.301,4.04,4.298
2014-04-30,0.619,0.823,1.794,3.0789999999999997,3.87,4.152
2014-05-30,0.574,0.758,1.68,2.965,3.803,4.119
2014-06-30,0.392,0.6,1.367,2.739,3.679,3.986
2014-07-31,0.327,0.535,1.314,2.697,3.583,3.8760000000000003
2014-08-29,0.276,0.415,1.148,2.435,3.326,3.634
2014-09-30,0.275,0.39899999999999997,1.042,2.365,3.2760000000000002,3.658
2014-10-31,0.40299999999999997,0.6459999999999999,1.1909999999999998,2.378,3.3710000000000004,3.753
2014-11-28,0.35,0.51,0.9640000000000001,2.046,3.069,3.4539999999999997
2014-12-31,0.318,0.5,0.924,1.879,2.912,3.222
2015-01-30,0.212,0.45399999999999996,0.892,1.6740000000000002,2.455,2.6660000000000004
2015-02-27,0.107,0.221,0.59,1.3419999999999999,2.059,2.305
2015-03-31,0.033,0.203,0.575,1.253,1.879,2.063
2015-04-30,0.048,0.175,0.6779999999999999,1.5219999999999998,2.253,2.526
2015-05-29,0.023,0.14300000000000002,0.835,1.8530000000000002,2.595,2.8689999999999998
2015-06-30,0.154,0.42700000000000005,1.22,2.303,3.0989999999999998,3.279
2015-07-31,0.033,0.096,0.7909999999999999,1.7830000000000001,2.5669999999999997,2.8489999999999998
2015-08-31,0.063,0.179,0.904,1.936,2.695,2.952
2015-09-30,0.067,0.132,0.7509999999999999,1.7280000000000002,2.504,2.8369999999999997
2015-10-30,-0.008,0.045,0.506,1.5,2.272,2.6
2015-11-30,0.013999999999999999,0.027000000000000003,0.479,1.4269999999999998,2.201,2.583
2015-12-31,0.021,0.032,0.621,1.601,2.326,2.693
2016-01-29,-0.059000000000000004,-0.01,0.429,1.4340000000000002,2.174,2.605
2016-02-29,-0.037000000000000005,-0.035,0.391,1.4069999999999998,2.129,2.5069999999999997
2016-03-31,-0.071,-0.009000000000000001,0.285,1.226,1.9580000000000002,2.374
2016-04-29,-0.07400000000000001,-0.027999999999999997,0.40299999999999997,1.504,2.215,2.6430000000000002
2016-05-31,-0.162,-0.061,0.444,1.368,2.136,2.541
2016-06-30,-0.174,-0.06,0.359,1.273,1.9469999999999998,2.334
2016-07-29,-0.166,-0.046,0.28800000000000003,1.168,1.7530000000000001,2.1390000000000002
2016-08-31,-0.20800000000000002,-0.066,0.255,1.15,1.702,2.168
2016-09-30,-0.22899999999999998,-0.08800000000000001,0.263,1.189,1.844,2.211
2016-10-31,-0.18600000000000003,0.047,0.5429999999999999,1.676,2.33,2.702
2016-11-30,-0.17,0.214,0.895,1.989,2.6,3.036
2016-12-30,-0.29100000000000004,-0.145,0.605,1.819,2.454,2.9330000000000003
2017-01-31,-0.251,0.057999999999999996,0.9279999999999999,2.259,2.88,3.322
2017-02-28,-0.255,0.114,0.83,2.085,2.7060000000000004,3.175
2017-03-31,-0.22899999999999998,0.044000000000000004,1.1059999999999999,2.312,2.839,3.279
2017-04-28,-0.268,-0.016,1.047,2.281,2.878,3.34
2017-05-31,-0.322,-0.040999999999999995,0.917,2.199,2.841,3.3080000000000003
2017-06-30,-0.382,-0.075,0.863,2.155,2.867,3.305
2017-07-31,-0.337,-0.147,0.778,2.0909999999999997,2.798,3.213
2017-08-31,-0.331,-0.099,0.8390000000000001,2.042,2.7689999999999997,3.194
2017-09-29,-0.348,-0.147,0.828,2.171,2.8489999999999998,3.259
2017-10-31,-0.366,-0.217,0.609,1.825,2.552,3.0039999999999996
2017-11-30,-0.413,-0.332,0.48,1.7409999999999999,2.498,2.9139999999999997
2017-12-29,-0.45,-0.158,0.708,1.9980000000000002,2.786,3.222
2018-01-31,-0.41200000000000003,-0.225,0.73,2.021,2.695,3.048
2018-02-28,-0.392,-0.102,0.9129999999999999,2.068,2.8539999999999996,3.0839999999999996
2018-03-30,-0.41600000000000004,-0.266,0.647,1.787,2.634,2.86
2018-04-30,-0.391,-0.16699999999999998,0.649,1.78,2.572,2.875
2018-05-31,0.56,1.176,2.085,2.8360000000000003,3.2760000000000002,3.409
2018-06-29,0.254,0.725,1.7469999999999999,2.688,3.2260000000000004,3.46
2018-07-31,0.21,0.75,1.831,2.74,3.344,3.512
2018-08-31,0.882,1.49,2.5789999999999997,3.239,3.716,3.818
2018-09-28,0.76,1.052,2.233,3.1430000000000002,3.5469999999999997,3.7230000000000003
2018-10-31,0.557,1.3259999999999998,2.648,3.4339999999999997,3.827,3.967
2018-11-30,0.38,0.852,2.333,3.2119999999999997,3.7289999999999996,3.838
2018-12-31,0.03,0.518,1.844,2.773,3.3289999999999997,3.562
2019-01-31,0.06,0.284,1.5190000000000001,2.592,3.2310000000000003,3.475
2019-02-28,0.2,0.391,1.693,2.76,3.4939999999999998,3.7089999999999996
2019-03-29,0.039,0.243,1.504,2.483,3.252,3.4739999999999998
2019-04-30,0.047,0.509,1.6119999999999999,2.565,3.168,3.4019999999999997
2019-05-31,0.113,0.703,1.8219999999999998,2.6630000000000003,3.193,3.387
2019-06-28,-0.045,0.22399999999999998,1.27,2.09,2.6919999999999997,2.949
2019-07-31,-0.17,-0.016,0.825,1.547,2.279,2.667
2019-08-30,-0.245,-0.156,0.424,1.033,1.705,2.062
2019-09-30,-0.217,-0.18899999999999997,0.21899999999999997,0.828,1.571,1.92
2019-10-31,-0.20199999999999999,-0.1,0.322,1.028,1.675,2.0340000000000003
2019-11-29,-0.135,0.038,0.569,1.338,2.024,2.371
2019-12-31,-0.18899999999999997,-0.02,0.597,1.4269999999999998,2.1109999999999998,2.476
2020-01-31,-0.281,-0.192,0.23399999999999999,0.924,1.5959999999999999,1.952
2020-02-28,-0.163,-0.02,0.431,1.127,1.761,2.108
2020-03-31,0.13,0.391,0.855,1.534,2.169,2.454
2020-04-30,0.264,0.525,1.085,1.777,2.311,2.6239999999999997
2020-05-29,0.145,0.40299999999999997,1.0390000000000001,1.4909999999999999,2.11,2.414
2020-06-30,-0.177,0.08800000000000001,0.7240000000000001,1.327,1.881,2.241
2020-07-31,-0.22,-0.006999999999999999,0.515,1.077,1.621,1.974
2020-08-31,-0.24,-0.063,0.514,1.159,1.686,2.0709999999999997
2020-09-30,-0.321,-0.21100000000000002,0.266,0.87,1.393,1.761
2020-10-30,-0.429,-0.341,0.087,0.718,1.227,1.591
2020-11-30,-0.461,-0.446,-0.047,0.585,1.131,1.485
2020-12-31,0.01,-0.466,-0.10400000000000001,0.521,1.063,1.43
