,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12
1,-0.221474139,-1.885599921,0.06913869,-1.61510818,0.906964516,-0.818037572,1.694145539,-0.297199985,2.08841577,0.045715956,2.127322837,0.040048739
2,-0.138494536,-1.634443047,0.04604878,-1.425205014,0.625743972,-0.812676825,1.202691716,-0.442250305,1.487927783,-0.173737584,1.563927729,-0.156933679
3,0.434056722,-1.78822939,0.595795459,-1.627151982,0.89582105,-1.165400952,1.336728447,-1.11369168,1.464197445,-0.995468216,1.691791705,-0.878535526
4,1.346864742,-1.712966521,1.553553521,-1.471236369,2.347817275,-1.010941741,2.88959753,-0.396989478,3.125059428,-0.26761814,3.097854619,-0.331441675
5,1.298350376,-1.537297309,1.626647478,-1.191365664,2.383995589,-0.54170235,3.031129097,-0.109141424,3.306847267,-0.034590468,3.074878588,-0.072446168
6,1.709590146,-1.063930733,2.089463007,-0.852057142,3.09938646,0.016672863,3.674014575,0.548525803,3.857789173,0.593325043,3.630114597,0.371089649
7,2.523108504,-0.693916956,3.044672486,-0.239621913,4.243895183,0.574437919,5.012672123,1.25544395,5.011883808,1.236131528,4.653726809,0.980043904
8,2.507755939,-0.588317768,3.148435859,-0.125107772,4.619813999,1.076155568,5.896773144,1.936954325,5.986890325,1.999739653,5.451114868,1.564879571
9,2.84459528,-0.550321089,3.546457526,-0.012034993,4.862108699,0.968882148,5.925878523,1.775150989,6.039350382,1.761564955,5.495690739,1.556009941
10,2.438597433,-0.493689992,3.229942254,-0.037806022,4.786304444,1.137240232,5.926859712,1.975874376,6.133835511,2.171342068,5.592776448,1.851648845
11,2.290969539,-0.92235337,3.020387746,-0.341076143,4.820506595,0.967903655,6.103936066,1.884759965,6.239379256,2.051972435,5.804776005,1.737279316
12,2.271116863,-0.963987199,3.011044122,-0.368121341,4.723141331,0.788129851,6.028100985,1.901644352,6.263887998,2.009547816,5.670978431,1.558038854
13,2.178742541,-0.949324712,2.958460945,-0.392703201,4.704197117,0.837324949,6.050062275,1.96290423,6.187276567,1.956120125,5.710514934,1.662654796
14,2.336804426,-0.731560306,3.12603194,-0.264418408,4.738246458,1.057767071,6.070702506,1.95579019,6.16972167,2.093070195,5.808561331,1.760056187
15,2.224836986,-0.863173043,2.872024148,-0.383176151,4.412850877,0.785127151,5.581659733,1.623554866,5.736631207,1.763380245,5.355579672,1.487220615
16,2.394421133,-0.857280461,3.018505427,-0.343023798,4.442020155,0.785801004,5.684624043,1.723745927,5.81334535,1.842532714,5.331481854,1.53624446
17,2.530575124,-0.612659696,3.097890165,-0.225393156,4.460811541,0.749134957,5.477141354,1.45492635,5.543551601,1.545943375,5.186067754,1.369093685
18,2.35945894,-0.817207421,2.927583599,-0.278529342,4.167426456,0.653749567,5.233211935,1.34843529,5.341172588,1.516260501,5.02263374,1.220866299
